customer_id,renewal_date,age,province,policy_type,tenure_years,annual_premium,premium_change_pct,payment_frequency,autopay_enrolled,missed_payments_12m,claims_count_3y,last_claim_status,complaints_12m,service_interactions_12m,satisfaction_score,multi_policy_count,life_event_12m,digital_logins_12m,outcome
H500021,2026-05-30,72,NS,Home,0.3,1979.18,5.8,Monthly,Yes,0,1,Partial,0,4,8,1,None,11,Renewed
H500022,2026-04-16,73,QC,Auto+Home Bundle,2.0,2570.6,6.8,Monthly,Yes,0,0,None,1,3,8,2,Retirement,10,Renewed
H500023,2026-02-19,21,ON,Auto+Home Bundle,6.6,4048.34,-1.0,Monthly,Yes,0,0,None,0,2,5,1,Retirement,8,Renewed
H500024,2024-11-13,63,ON,Auto+Home Bundle,5.6,2471.28,-2.3,Monthly,Yes,0,0,None,0,1,10,1,None,9,Renewed
H500025,2026-03-22,39,QC,Home,6.4,969.72,14.9,Annual,Yes,3,1,Approved,0,6,6,1,Divorce,12,Renewed
H500026,2024-10-27,60,ON,Auto,6.6,1743.09,18.7,Annual,No,0,0,None,0,5,7,1,None,10,Renewed
H500027,2025-04-27,50,MB,Tenant,11.1,348.9,14.2,Annual,Yes,1,2,Approved,0,2,9,1,Divorce,4,Renewed
H500028,2024-09-19,44,BC,Tenant,5.6,594.38,4.4,Monthly,No,0,0,None,0,1,5,1,None,12,Renewed
H500029,2025-12-09,66,ON,Auto,20.4,2740.42,0.4,Monthly,No,0,0,None,0,2,6,2,None,11,Renewed
H500030,2025-07-06,56,BC,Auto,2.8,2461.65,4.4,Monthly,Yes,0,1,Approved,0,0,7,1,None,5,Renewed
H500031,2025-03-10,37,ON,Life,5.1,865.79,1.8,Monthly,No,0,3,Approved,0,2,10,1,Divorce,5,Renewed
H500032,2025-01-04,43,QC,Tenant,11.1,527.72,3.5,Monthly,Yes,0,1,Approved,0,0,6,1,Retirement,10,Renewed
H500033,2026-04-08,31,NS,Auto,2.6,2234.28,10.6,Monthly,Yes,0,1,Denied,0,5,9,1,Divorce,12,Renewed
H500034,2025-06-20,73,ON,Life,16.2,1801.93,6.5,Monthly,Yes,0,1,Approved,0,2,7,3,Home Purchase,11,Renewed
H500035,2025-08-23,57,AB,Life,8.0,975.36,9.4,Monthly,No,0,0,None,0,3,6,1,None,4,Renewed
H500036,2025-03-13,65,ON,Auto,0.3,3572.62,6.7,Monthly,No,0,2,Approved,0,1,10,2,Divorce,8,Renewed
H500037,2024-09-13,48,ON,Auto,5.8,2688.57,0.9,Monthly,No,0,2,Partial,0,3,7,1,New Child,15,Renewed
H500038,2024-09-01,59,QC,Auto,5.7,3020.26,1.1,Monthly,Yes,0,0,None,0,2,9,2,None,12,Renewed
H500039,2025-01-17,21,ON,Home,0.7,1078.46,8.0,Monthly,Yes,2,0,None,0,3,6,1,None,8,Renewed
H500040,2025-06-02,73,AB,Auto,8.3,2391.78,5.8,Monthly,No,0,1,Approved,0,2,7,1,Job Change,11,Renewed
H500041,2025-05-16,49,BC,Auto+Home Bundle,2.2,4818.89,17.1,Monthly,Yes,0,3,Approved,0,3,8,1,New Child,7,Renewed
H500042,2025-02-21,59,QC,Life,2.9,1968.01,-4.4,Annual,No,1,0,None,0,2,6,1,Marriage,8,Renewed
H500043,2025-06-07,64,QC,Home,12.7,1030.26,5.0,Monthly,No,2,1,Approved,0,2,6,1,New Child,7,Renewed
H500044,2026-05-11,59,SK,Auto,1.5,3535.11,-4.5,Monthly,No,4,0,None,0,5,5,2,None,7,Renewed
H500045,2024-11-09,66,BC,Life,0.7,1840.97,12.5,Monthly,Yes,0,3,Approved,0,1,10,1,Divorce,8,Renewed
H500046,2025-12-22,73,AB,Auto+Home Bundle,8.4,4343.13,7.1,Monthly,Yes,2,0,None,0,3,6,3,Home Purchase,8,Renewed
H500047,2025-01-28,58,ON,Auto,1.0,3263.02,-0.2,Annual,Yes,0,1,Approved,0,3,8,2,None,5,Renewed
H500048,2024-07-14,25,ON,Tenant,4.9,330.16,2.1,Monthly,Yes,0,0,None,0,0,8,1,None,10,Renewed
H500049,2025-05-18,51,QC,Auto,4.4,3064.4,15.4,Annual,Yes,0,1,Approved,1,1,9,3,Retirement,4,Renewed
H500050,2026-04-21,33,ON,Tenant,4.2,351.86,3.9,Monthly,Yes,1,0,None,0,2,7,1,None,11,Renewed
H500051,2025-10-02,39,ON,Auto,0.5,3131.26,10.9,Monthly,No,0,2,Approved,0,0,5,2,None,9,Lapsed
H500052,2024-08-28,30,QC,Auto+Home Bundle,0.5,3261.09,16.2,Monthly,Yes,0,2,Approved,0,5,5,3,Retirement,6,Renewed
H500053,2026-04-14,26,ON,Auto,1.0,2523.68,19.0,Monthly,Yes,0,0,None,0,2,5,3,None,8,Renewed
H500054,2026-01-23,25,BC,Home,11.7,2045.59,13.6,Annual,No,0,0,None,0,6,10,1,None,9,Renewed
H500055,2025-08-11,29,ON,Auto+Home Bundle,9.6,4673.76,4.6,Monthly,Yes,1,0,None,2,3,7,1,Divorce,11,Renewed
H500056,2025-06-28,39,AB,Auto,5.7,2190.63,1.5,Monthly,No,0,0,None,0,3,9,1,None,9,Renewed
H500057,2024-11-09,75,AB,Auto,0.9,2851.56,10.0,Monthly,No,0,0,None,0,0,6,1,None,7,Renewed
H500058,2025-02-08,42,ON,Auto,4.6,3058.01,5.2,Monthly,No,0,0,None,1,2,4,1,None,8,Renewed
H500059,2026-02-04,39,ON,Auto,7.4,3564.91,1.6,Annual,No,0,1,Approved,0,2,9,1,Home Purchase,12,Renewed
H500060,2024-07-18,48,QC,Home,1.5,2330.72,-3.4,Annual,No,0,0,None,0,1,6,1,New Child,9,Renewed
H500061,2025-01-01,50,MB,Tenant,2.1,468.86,13.6,Annual,Yes,0,0,None,0,3,6,3,None,10,Renewed
H500062,2026-04-25,76,QC,Auto+Home Bundle,1.8,4240.58,1.1,Monthly,Yes,0,0,None,0,2,9,3,None,9,Renewed
H500063,2025-11-13,73,ON,Auto,18.0,2848.71,5.2,Annual,No,2,0,None,0,2,9,2,None,7,Renewed
H500064,2026-03-16,77,ON,Auto,10.9,1778.44,4.7,Annual,Yes,0,0,None,1,2,8,1,Marriage,9,Renewed
H500065,2025-02-18,63,QC,Auto+Home Bundle,0.3,2385.95,4.4,Monthly,Yes,1,1,Approved,0,3,6,2,Divorce,7,Renewed
H500066,2025-09-03,47,ON,Home,5.5,1590.04,1.9,Annual,Yes,0,0,None,0,4,9,2,None,10,Renewed
H500067,2025-09-03,20,MB,Home,0.3,1054.14,4.4,Monthly,Yes,0,0,None,0,2,7,3,None,5,Renewed
H500068,2026-04-06,60,ON,Auto+Home Bundle,6.5,2515.9,11.7,Monthly,Yes,0,0,None,0,1,7,1,None,6,Renewed
H500069,2026-01-10,34,ON,Auto,6.0,1518.66,4.8,Annual,Yes,1,0,None,0,4,10,2,None,6,Renewed
H500070,2026-05-03,63,ON,Auto,4.0,2066.7,7.5,Monthly,No,0,0,None,0,2,6,2,Divorce,12,Renewed
H500071,2025-01-14,32,ON,Auto+Home Bundle,0.3,4933.59,-4.0,Annual,No,0,0,None,0,1,7,1,Home Purchase,4,Renewed
H500072,2026-03-16,27,BC,Auto+Home Bundle,6.3,5041.22,1.5,Monthly,Yes,0,1,Partial,0,0,8,2,None,11,Renewed
H500073,2026-03-10,41,ON,Life,1.0,1659.65,5.9,Monthly,No,2,0,None,0,2,8,1,Divorce,13,Renewed
H500074,2025-01-03,20,ON,Auto,0.7,2869.19,8.2,Annual,No,0,0,None,0,0,10,1,New Child,8,Lapsed
H500075,2025-06-22,29,AB,Home,0.4,1922.36,8.7,Monthly,Yes,0,1,Denied,0,3,4,1,None,12,Renewed
H500076,2026-05-23,52,QC,Home,1.5,2180.64,6.9,Monthly,Yes,0,0,None,0,1,8,1,Divorce,3,Renewed
H500077,2025-05-28,50,QC,Home,0.3,1557.51,9.2,Annual,Yes,3,0,None,0,1,10,2,None,7,Renewed
H500078,2026-02-18,70,ON,Home,1.3,1964.16,0.3,Monthly,Yes,0,3,Approved,0,2,7,1,Marriage,8,Renewed
H500079,2024-08-31,58,ON,Auto+Home Bundle,2.7,4238.56,-0.9,Annual,No,0,0,None,1,5,4,2,None,14,Renewed
H500080,2024-11-24,48,BC,Auto,6.5,1429.87,9.5,Monthly,No,0,1,Approved,0,1,7,1,None,8,Lapsed
H500081,2026-01-03,56,QC,Auto+Home Bundle,1.3,4572.47,4.3,Monthly,Yes,0,0,None,0,3,9,2,None,6,Renewed
H500082,2025-11-25,60,NB,Tenant,5.5,558.8,8.3,Monthly,Yes,1,0,None,0,3,8,1,None,6,Renewed
H500083,2024-08-26,34,QC,Home,5.3,1212.69,0.3,Annual,No,0,1,Approved,0,1,8,2,Retirement,6,Renewed
H500084,2025-04-19,75,ON,Tenant,3.5,259.49,17.9,Monthly,No,0,1,Partial,0,4,6,2,Divorce,5,Renewed
H500085,2026-01-10,33,QC,Auto+Home Bundle,4.8,3174.3,1.9,Monthly,Yes,0,1,Approved,0,7,9,2,None,7,Renewed
H500086,2025-03-22,40,MB,Life,3.3,2429.51,-8.0,Monthly,Yes,0,0,None,0,0,7,1,Divorce,8,Renewed
H500087,2024-12-20,72,QC,Auto,2.9,1824.86,8.9,Monthly,No,0,0,None,0,2,7,1,New Child,14,Renewed
H500088,2026-03-13,79,QC,Auto,12.7,3457.13,1.2,Annual,Yes,1,0,None,0,4,8,2,None,9,Renewed
H500089,2025-05-11,77,BC,Tenant,1.1,486.5,14.6,Monthly,Yes,0,0,None,0,4,9,2,None,2,Lapsed
H500090,2024-08-01,79,ON,Auto+Home Bundle,5.2,2134.8,9.2,Annual,Yes,0,1,Denied,0,1,5,1,Job Change,12,Renewed
H500091,2025-01-29,68,ON,Life,5.8,1008.86,19.8,Monthly,Yes,0,1,Partial,0,0,5,3,None,7,Renewed
H500092,2026-03-24,60,BC,Auto,0.7,2920.65,12.6,Monthly,Yes,1,0,None,1,2,10,1,Divorce,9,Renewed
H500093,2025-04-01,22,ON,Home,1.7,2348.84,6.5,Monthly,No,0,1,Approved,0,2,6,2,New Child,12,Renewed
H500094,2025-11-11,76,ON,Auto+Home Bundle,8.9,4820.92,5.6,Monthly,Yes,1,2,Approved,0,5,8,1,None,11,Lapsed
H500095,2026-04-08,48,AB,Tenant,0.5,324.94,2.6,Annual,No,0,0,None,3,1,4,2,Retirement,5,Renewed
H500096,2024-08-01,49,ON,Auto,0.6,1220.58,5.1,Monthly,Yes,0,0,None,0,2,9,1,None,12,Renewed
H500097,2025-01-13,69,ON,Life,0.7,1889.16,-3.5,Monthly,Yes,0,1,Approved,0,2,9,2,Retirement,6,Renewed
H500098,2024-10-06,37,ON,Auto,0.8,2268.96,9.6,Monthly,No,0,3,Approved,0,3,8,1,None,6,Renewed
H500099,2025-03-02,66,QC,Auto+Home Bundle,10.8,4596.45,9.3,Monthly,No,1,0,None,0,1,7,2,Retirement,7,Renewed
H500100,2025-03-03,81,MB,Auto+Home Bundle,12.2,2763.3,8.6,Monthly,Yes,0,0,None,0,0,6,1,None,8,Renewed
H500101,2025-04-25,54,QC,Auto+Home Bundle,4.6,3026.55,3.1,Monthly,Yes,3,0,None,0,4,10,1,Marriage,5,Renewed
H500102,2026-01-21,46,QC,Auto+Home Bundle,4.4,2158.28,11.4,Monthly,Yes,0,1,Approved,0,1,9,1,None,8,Renewed
H500103,2025-04-05,53,QC,Auto,0.8,2402.35,8.2,Monthly,No,1,2,Partial,0,3,8,1,None,9,Renewed
H500104,2024-07-13,56,QC,Home,0.3,1002.89,11.0,Monthly,Yes,0,1,Approved,0,2,7,2,None,9,Renewed
H500105,2024-11-24,52,QC,Life,5.4,1086.6,4.5,Monthly,No,0,2,Approved,0,1,5,1,Job Change,11,Renewed
H500106,2026-03-04,41,QC,Home,0.5,1409.2,1.6,Monthly,Yes,0,0,None,0,1,6,2,None,8,Renewed
H500107,2024-09-11,23,MB,Home,1.2,2119.86,-6.3,Monthly,Yes,0,0,None,0,5,7,1,None,7,Renewed
H500108,2025-11-14,40,ON,Auto,8.1,2915.73,5.2,Annual,Yes,1,0,None,0,1,8,1,None,5,Lapsed
H500109,2025-09-07,67,SK,Auto,6.9,2904.74,5.8,Monthly,No,0,0,None,0,4,8,1,Divorce,8,Renewed
H500110,2025-07-13,56,ON,Auto,4.7,1481.33,11.5,Annual,Yes,1,0,None,0,2,6,3,Job Change,4,Renewed
H500111,2025-06-01,43,QC,Auto,13.6,3056.99,10.2,Monthly,Yes,0,0,None,0,0,7,1,None,17,Renewed
H500112,2026-02-14,71,SK,Life,12.7,762.77,-3.7,Annual,Yes,0,0,None,0,2,9,2,None,3,Renewed
H500113,2025-02-16,24,AB,Home,2.3,2403.3,8.9,Monthly,Yes,1,0,None,0,3,10,1,New Child,12,Renewed
H500114,2026-01-29,43,BC,Life,3.0,2248.09,-8.0,Monthly,No,1,0,None,0,1,6,2,None,12,Renewed
H500115,2026-06-01,46,AB,Auto+Home Bundle,0.7,3848.61,3.6,Monthly,No,2,0,None,0,2,8,1,None,9,Renewed
H500116,2025-02-25,44,QC,Home,0.6,2583.38,6.0,Annual,Yes,0,0,None,0,1,7,1,Retirement,5,Lapsed
H500117,2025-06-04,19,QC,Auto,5.2,1613.44,-0.5,Annual,No,0,2,Approved,0,2,7,1,New Child,10,Renewed
H500118,2025-02-19,65,ON,Home,13.8,2587.33,11.6,Annual,Yes,0,0,None,1,1,7,2,None,6,Renewed
H500119,2025-07-08,33,QC,Home,11.6,1291.09,-4.0,Monthly,Yes,0,1,Approved,0,3,8,2,None,12,Renewed
H500120,2024-08-13,56,ON,Auto+Home Bundle,1.4,2603.29,3.6,Monthly,Yes,0,4,Approved,0,2,8,1,Divorce,9,Renewed
H500121,2025-05-21,53,BC,Auto+Home Bundle,0.8,4317.74,1.6,Monthly,Yes,0,0,None,0,3,9,1,Home Purchase,6,Renewed
H500122,2025-09-14,68,QC,Auto,6.4,3156.26,-2.3,Monthly,No,4,1,Approved,0,4,10,1,Retirement,6,Renewed
H500123,2024-08-25,81,MB,Tenant,7.9,529.19,4.0,Monthly,Yes,1,3,Approved,0,2,7,2,Divorce,11,Renewed
H500124,2025-10-09,64,NS,Home,1.2,2184.25,-3.5,Monthly,No,0,1,Denied,0,3,6,1,None,14,Renewed
H500125,2025-11-03,21,ON,Auto,1.0,2328.61,-0.8,Monthly,No,0,0,None,0,3,7,1,None,12,Renewed
H500126,2025-11-21,23,ON,Home,1.1,2075.19,0.6,Monthly,No,0,0,None,0,3,9,3,None,15,Renewed
H500127,2025-12-08,78,NS,Auto+Home Bundle,8.8,3699.83,-2.5,Monthly,Yes,0,0,None,0,1,8,1,Divorce,10,Renewed
H500128,2024-10-02,73,QC,Home,0.3,2586.17,6.2,Monthly,Yes,0,0,None,0,0,9,2,None,12,Renewed
H500129,2025-02-06,73,AB,Home,0.7,1912.68,12.5,Monthly,No,0,0,None,0,4,8,2,None,5,Renewed
H500130,2025-09-25,31,BC,Auto,15.6,3430.41,10.0,Monthly,Yes,0,0,None,0,2,3,1,New Child,9,Renewed
H500131,2025-09-13,27,ON,Auto+Home Bundle,15.5,2011.85,13.9,Annual,Yes,0,1,Approved,0,2,5,1,Home Purchase,7,Renewed
H500132,2024-08-21,34,ON,Auto+Home Bundle,5.1,3821.6,5.9,Annual,Yes,0,1,Approved,0,1,9,3,None,10,Renewed
H500133,2024-12-07,68,ON,Auto+Home Bundle,10.3,3703.0,0.8,Annual,Yes,0,1,Approved,0,2,7,2,New Child,11,Renewed
H500134,2024-11-16,68,ON,Home,6.2,2449.17,11.3,Monthly,No,0,2,Approved,0,4,6,2,None,10,Renewed
H500135,2025-11-10,53,ON,Auto+Home Bundle,0.6,4950.71,4.1,Monthly,Yes,0,0,None,0,1,8,3,Retirement,7,Renewed
H500136,2025-09-30,77,NS,Home,1.6,1075.4,3.8,Monthly,Yes,0,1,Partial,0,2,8,1,None,9,Renewed
H500137,2025-01-30,33,ON,Auto+Home Bundle,4.4,4945.45,14.1,Monthly,Yes,0,3,Approved,0,2,7,2,None,13,Renewed
H500138,2025-06-29,74,AB,Tenant,2.2,387.35,1.0,Annual,No,1,0,None,2,1,6,1,None,13,Renewed
H500139,2026-02-01,61,QC,Tenant,3.9,568.34,6.1,Monthly,Yes,0,1,Denied,0,3,10,1,Marriage,6,Renewed
H500140,2024-10-03,70,ON,Tenant,5.1,491.58,13.1,Monthly,Yes,1,1,Partial,0,5,5,1,New Child,7,Lapsed
H500141,2024-07-13,41,BC,Home,6.3,1826.33,8.8,Monthly,Yes,0,0,None,1,1,5,2,Home Purchase,11,Renewed
H500142,2025-12-03,30,NB,Auto+Home Bundle,6.3,2082.49,0.1,Monthly,No,3,2,Approved,0,0,7,1,Job Change,6,Renewed
H500143,2024-07-06,66,ON,Auto,3.4,3022.49,14.1,Annual,Yes,0,0,None,0,5,6,1,Job Change,9,Renewed
H500144,2025-04-22,52,ON,Auto,0.8,2361.24,14.9,Monthly,No,0,2,Approved,0,0,7,1,None,11,Renewed
H500145,2024-08-20,56,QC,Auto,6.5,2790.31,6.3,Monthly,Yes,4,0,None,1,2,10,1,Divorce,5,Renewed
H500146,2026-02-11,27,BC,Home,2.0,1949.27,-8.0,Monthly,Yes,1,2,Approved,1,0,6,2,Divorce,7,Lapsed
H500147,2026-03-21,64,ON,Auto,1.2,3063.33,-5.1,Monthly,No,2,0,None,0,3,8,1,Job Change,9,Renewed
H500148,2025-09-24,33,NS,Tenant,2.8,371.63,9.4,Monthly,No,0,0,None,0,2,7,1,None,8,Renewed
H500149,2025-10-11,54,AB,Auto,0.9,3224.98,11.5,Annual,No,0,0,None,0,2,6,1,None,9,Renewed
H500150,2026-05-12,59,ON,Tenant,7.2,272.14,12.6,Annual,Yes,0,0,None,0,1,10,3,Divorce,14,Renewed
H500151,2025-08-17,76,AB,Life,3.2,889.06,13.4,Annual,No,0,0,None,0,2,6,2,None,10,Renewed
H500152,2025-06-16,70,NS,Auto,2.6,3112.47,5.6,Monthly,No,0,2,Partial,0,3,9,1,None,12,Renewed
H500153,2024-09-29,66,ON,Auto+Home Bundle,13.5,2865.63,11.4,Monthly,No,0,1,Approved,0,3,8,1,None,8,Renewed
H500154,2026-05-22,42,AB,Auto+Home Bundle,5.0,4330.09,-3.5,Monthly,Yes,0,0,None,0,2,8,1,Retirement,8,Renewed
H500155,2025-06-21,50,BC,Life,3.4,2226.73,3.4,Monthly,Yes,4,0,None,0,1,5,2,Retirement,7,Lapsed
H500156,2025-10-01,67,ON,Home,23.5,1119.26,7.3,Monthly,No,0,0,None,0,5,8,2,None,11,Renewed
H500157,2025-06-22,28,AB,Tenant,8.7,372.21,17.2,Monthly,No,0,0,None,0,1,4,1,Job Change,8,Renewed
H500158,2026-03-27,47,ON,Auto,0.3,2182.2,3.0,Monthly,No,0,0,None,0,0,6,1,Divorce,12,Renewed
H500159,2025-10-23,52,QC,Auto,1.3,1670.75,3.2,Monthly,Yes,0,0,None,0,1,8,2,Divorce,6,Renewed
H500160,2025-03-31,24,ON,Tenant,5.7,523.94,16.4,Monthly,Yes,0,1,Approved,2,3,8,2,New Child,10,Renewed
H500161,2024-12-25,78,ON,Auto,5.4,1752.78,1.9,Monthly,Yes,0,4,Denied,0,1,6,1,None,8,Renewed
H500162,2025-12-17,20,NS,Auto+Home Bundle,3.3,2981.96,23.3,Annual,No,0,0,None,0,0,9,3,None,6,Lapsed
H500163,2024-12-11,35,BC,Tenant,0.3,424.79,2.8,Monthly,Yes,0,0,None,0,1,9,2,None,8,Renewed
H500164,2025-03-12,50,AB,Tenant,5.1,507.07,10.1,Monthly,Yes,0,1,Approved,0,2,6,3,Marriage,9,Renewed
H500165,2024-08-06,47,AB,Auto,3.3,3158.16,9.4,Monthly,No,0,0,None,0,2,9,1,None,6,Renewed
H500166,2026-04-03,30,QC,Life,0.5,1975.24,9.5,Monthly,Yes,1,2,Approved,0,5,7,2,Retirement,11,Renewed
H500167,2025-10-07,49,MB,Home,1.3,1757.65,0.2,Annual,No,0,0,None,0,2,7,2,Marriage,12,Renewed
H500168,2025-07-21,51,ON,Auto+Home Bundle,22.1,4252.48,-8.0,Monthly,No,1,0,None,0,2,6,1,Home Purchase,13,Renewed
H500169,2025-01-22,75,BC,Auto+Home Bundle,5.3,2571.31,4.5,Monthly,No,0,1,Approved,0,3,6,3,Divorce,13,Renewed
H500170,2025-03-09,23,BC,Auto+Home Bundle,8.4,4789.62,4.2,Monthly,Yes,1,0,None,0,2,5,1,None,11,Renewed
H500171,2025-02-27,22,ON,Auto,2.4,3392.18,11.6,Monthly,Yes,2,0,None,0,3,7,2,Job Change,10,Lapsed
H500172,2025-06-30,53,ON,Life,7.1,794.74,15.1,Annual,Yes,0,3,Partial,3,1,9,1,Marriage,8,Renewed
H500173,2025-05-05,28,QC,Life,2.0,2304.48,-1.3,Monthly,No,0,0,None,0,4,7,3,Marriage,15,Renewed
H500174,2026-01-14,74,SK,Home,6.1,2205.36,4.5,Annual,No,1,3,Approved,0,4,7,1,None,5,Renewed
H500175,2024-12-31,21,ON,Auto,1.9,3504.21,17.1,Monthly,Yes,0,1,Approved,0,0,7,1,Divorce,10,Renewed
H500176,2025-06-27,54,BC,Auto+Home Bundle,1.9,3918.27,6.4,Monthly,Yes,3,0,None,0,3,3,1,None,13,Lapsed
H500177,2024-12-06,51,AB,Auto,2.1,3403.43,-1.1,Annual,Yes,0,0,None,0,5,7,2,Retirement,7,Renewed
H500178,2025-04-16,44,AB,Life,5.6,1213.24,8.8,Monthly,No,0,1,Approved,0,0,6,2,None,7,Renewed
H500179,2025-07-13,45,BC,Auto,6.1,2610.93,10.3,Monthly,Yes,1,0,None,0,1,8,1,None,10,Renewed
H500180,2026-04-24,42,BC,Auto+Home Bundle,10.5,4346.46,18.0,Annual,Yes,0,1,Partial,0,2,8,1,Home Purchase,11,Lapsed
H500181,2025-08-09,46,AB,Life,3.1,2187.51,15.3,Monthly,Yes,0,0,None,0,2,5,1,None,13,Renewed
H500182,2025-10-26,50,QC,Auto,2.2,2741.03,-6.0,Annual,No,0,3,Approved,0,5,6,1,Divorce,8,Renewed
H500183,2025-03-14,19,QC,Home,11.1,912.54,6.9,Monthly,Yes,1,0,None,0,0,8,2,None,12,Renewed
H500184,2024-11-29,55,ON,Life,2.1,1470.73,9.3,Monthly,No,0,1,Approved,0,3,9,1,None,4,Lapsed
H500185,2025-07-04,27,QC,Home,0.3,987.59,16.6,Monthly,Yes,2,0,None,0,2,10,1,Home Purchase,10,Renewed
H500186,2025-10-30,52,BC,Auto,15.1,1611.46,13.6,Monthly,Yes,0,0,None,0,2,6,3,Home Purchase,10,Renewed
H500187,2025-11-04,44,BC,Auto+Home Bundle,2.2,2017.16,-2.3,Annual,No,1,1,Approved,0,2,7,2,None,13,Renewed
H500188,2025-07-16,28,ON,Auto+Home Bundle,6.4,4581.59,-5.6,Monthly,Yes,3,0,None,0,1,5,1,Job Change,13,Renewed
H500189,2026-03-09,53,BC,Auto,3.3,3578.65,7.4,Monthly,No,0,0,None,0,1,6,2,Divorce,9,Renewed
H500190,2025-01-12,52,NB,Home,0.8,977.78,10.3,Monthly,No,0,2,Partial,0,2,7,1,Home Purchase,15,Renewed
H500191,2024-12-08,38,BC,Home,1.3,1876.95,-2.0,Monthly,Yes,1,0,None,0,2,10,1,Marriage,8,Renewed
H500192,2026-03-05,40,NB,Life,8.9,1447.91,1.2,Annual,No,2,0,None,0,4,10,2,Divorce,14,Renewed
H500193,2025-11-02,73,MB,Auto,1.6,1564.39,-0.5,Monthly,Yes,0,2,Approved,0,4,6,3,New Child,9,Renewed
H500194,2025-08-20,45,NB,Tenant,6.2,362.97,6.4,Monthly,No,1,0,None,0,2,8,1,None,15,Renewed
H500195,2025-11-08,58,ON,Home,13.0,1813.76,-8.0,Annual,No,0,0,None,0,2,9,2,None,9,Renewed
H500196,2024-08-12,73,AB,Tenant,5.0,263.29,4.8,Monthly,No,2,0,None,3,3,9,2,None,9,Renewed
H500197,2024-08-25,79,MB,Auto,4.3,3180.54,1.5,Annual,Yes,0,1,Partial,0,2,10,1,None,5,Renewed
H500198,2025-08-29,37,QC,Auto,2.6,2089.19,8.7,Monthly,No,0,1,Denied,0,2,6,2,Divorce,3,Renewed
H500199,2024-08-16,32,ON,Auto,2.2,2607.54,10.4,Annual,Yes,0,0,None,0,0,9,1,None,3,Renewed
H500200,2026-01-03,55,BC,Tenant,0.3,445.05,7.0,Monthly,Yes,0,3,Approved,0,0,6,1,None,8,Renewed
H500201,2026-04-01,19,ON,Auto,16.1,2069.65,19.4,Monthly,No,0,0,None,0,3,9,1,None,12,Renewed
