customer_id,age,gender,marital_status,province,city,occupation,annual_income,credit_score,policy_type,policy_start_date,renewal_date,tenure_years,annual_premium,coverage_amount,deductible,premium_change_pct,payment_frequency,autopay_enrolled,missed_payments_12m,claims_count_3y,last_claim_status,complaints_12m,service_interactions_12m,satisfaction_score,multi_policy_count,preferred_channel,preferred_contact_time,preferred_language,life_event_12m,digital_logins_12m,total_risk_score,risk_category,days_until_renewal
C100012,65,Female,Single,QC,Gatineau,Retail Associate,50130.0,569,Home,2019-07-11,2026-07-10,7.0,1566.9,1161000.0,1000,-5.9,Annual,Yes,0,0,None,0,3,8.0,1,Email,Evening,French,None,6,1,Low,9
C100013,66,Male,Married,ON,Toronto,Accountant,47020.0,668,Home,2026-07-04,2027-05-28,0.9,2041.16,1015000.0,500,3.7,Monthly,Yes,0,1,Denied,1,4,,1,Email,Evening,English,None,6,7,High,331
C100014,64,Female,Married,QC,Montreal,Driver,76046.0,714,Auto,2022-11-12,2026-07-25,3.7,2132.97,1023000.0,1000,10.5,Monthly,Yes,0,0,None,0,0,5.0,1,Text,Morning,French,Retirement,8,3,Low,24
C100015,68,Female,Widowed,ON,Brampton,Self-Employed,104416.0,645,Auto+Home Bundle,2025-06-30,2026-08-05,1.1,4274.07,928000.0,1500,6.5,Annual,No,1,0,None,0,3,7.0,2,Phone,Evening,English,Retirement,12,5,Medium,35
C100016,51,Male,Divorced,ON,Hamilton,Manager,35134.0,615,Auto,2026-10-23,2027-03-18,0.4,3406.19,1638000.0,1000,10.9,Annual,Yes,0,1,Partial,0,2,9.0,1,Phone,Evening,English,None,5,4,Medium,260
C100017,27,Female,Married,SK,Saskatoon,Engineer,72727.0,825,Auto+Home Bundle,2026-12-25,2027-05-20,0.4,3700.43,2259000.0,1500,4.1,Monthly,Yes,0,0,None,0,2,6.0,1,Text,Afternoon,English,Marriage,8,2,Low,323
C100018,71,Male,Widowed,BC,Kelowna,Manager,32301.0,825,Auto,2025-02-16,2026-07-12,1.4,2091.16,1879000.0,2000,2.7,Monthly,Yes,0,0,None,0,5,6.0,1,Phone,Morning,English,Divorce,7,4,Medium,11
C100019,47,Female,Married,ON,Toronto,Government Employee,73211.0,690,Life,2026-04-21,2027-05-27,1.1,2221.18,229000.0,2000,10.9,Monthly,Yes,0,1,Approved,0,3,8.0,1,Phone,Evening,English,None,13,3,Low,330
C100020,50,Male,Married,ON,Hamilton,Construction Worker,90837.0,697,Home,2003-05-21,2026-08-01,23.2,2127.14,743000.0,250,0.8,Annual,No,0,0,None,0,0,7.0,1,Text,Afternoon,English,None,8,2,Low,31
C100021,42,Male,Married,ON,Kitchener,Sales Representative,44025.0,702,Auto+Home Bundle,2026-07-17,2027-06-10,0.9,4837.34,2500000.0,1000,10.4,Monthly,Yes,0,0,None,0,1,8.0,1,Email,Evening,English,None,4,3,Low,344
C100022,30,Male,Married,AB,Red Deer,Driver,72177.0,618,Auto,2025-11-13,2026-11-13,1.0,3540.98,414000.0,1500,0.5,Monthly,Yes,0,0,None,0,3,7.0,1,Phone,Afternoon,English,New Child,8,2,Low,135
C100023,77,Male,Single,BC,Victoria,Nurse,99667.0,651,Auto+Home Bundle,2023-12-13,2027-02-23,3.2,3165.74,2314000.0,500,4.0,Monthly,Yes,2,0,None,1,1,7.0,1,Text,Morning,English,Divorce,8,8,High,237
C100024,68,Male,Married,ON,Kitchener,Technician,34345.0,716,Home,2026-03-24,2027-06-05,1.2,1742.09,543000.0,1000,18.8,Monthly,Yes,2,1,Approved,1,2,6.0,1,Phone,Morning,English,None,7,10,High,339
C100025,59,Female,Single,ON,Mississauga,Manager,123456.0,667,Auto,2026-04-05,2026-07-23,0.3,3045.61,181000.0,2000,15.5,Monthly,Yes,0,3,Partial,1,3,10.0,1,Mail,Afternoon,English,Marriage,8,8,High,22
C100026,44,Female,Single,AB,Calgary,Manager,48167.0,734,Home,2018-12-14,2026-07-20,7.6,2039.06,1475000.0,1500,18.2,Monthly,Yes,0,0,None,0,1,7.0,1,Email,Morning,English,New Child,10,4,Medium,19
C100027,70,Male,Widowed,NS,Halifax,Driver,82422.0,709,Auto+Home Bundle,2015-06-19,2026-08-30,11.2,4585.88,1831000.0,2000,3.8,Monthly,Yes,0,1,Approved,0,2,6.0,2,Phone,Afternoon,English,None,8,0,Low,60
C100028,53,Female,Married,NS,Halifax,Engineer,54678.0,736,Home,2020-10-08,2027-06-21,6.7,2247.22,468000.0,500,10.5,Annual,No,0,0,None,0,4,6.0,3,Mail,Afternoon,English,Home Purchase,9,2,Low,355
C100029,46,Male,Married,ON,Mississauga,Engineer,70255.0,703,Home,2018-12-23,2026-11-16,7.9,1291.23,379000.0,500,11.5,Annual,Yes,0,0,None,0,1,5.0,1,Email,Evening,English,None,9,2,Low,138
C100030,47,Male,Married,QC,Montreal,Student,56667.0,758,Life,2021-12-10,2027-06-10,5.5,2207.47,217000.0,1000,7.6,Monthly,No,0,1,Approved,1,3,8.0,2,Phone,Evening,English,None,10,3,Low,344
C100031,33,Female,Married,ON,Ottawa,Engineer,55265.0,816,Auto,2022-02-10,2027-03-18,5.1,3468.34,672000.0,500,-1.1,Annual,No,0,0,None,0,2,8.0,2,Email,Afternoon,English,New Child,13,1,Low,260
C100032,24,Male,Single,NS,Sydney,Nurse,82788.0,658,Life,2017-09-03,2027-04-10,9.6,1129.89,529000.0,2000,-1.0,Monthly,Yes,0,2,Approved,0,2,7.0,1,Text,Evening,English,None,11,1,Low,283
C100033,53,Female,Married,QC,Quebec City,Teacher,52545.0,578,Auto,2024-01-19,2027-02-24,3.1,1253.99,1695000.0,1000,-4.1,Monthly,Yes,2,0,None,0,1,7.0,1,Text,Evening,French,Home Purchase,9,4,Medium,238
C100034,74,Male,Widowed,SK,Saskatoon,Manager,73350.0,674,Auto,2022-01-05,2026-09-17,4.7,3159.25,695000.0,2000,-8.0,Monthly,No,0,3,Approved,0,3,7.0,2,Email,Evening,English,None,12,1,Low,78
C100035,23,Male,Single,QC,Gatineau,Accountant,35474.0,782,Auto+Home Bundle,2025-12-11,2027-05-06,1.4,3643.52,1848000.0,1000,10.2,Annual,Yes,2,2,Approved,0,3,10.0,2,Email,Afternoon,French,Retirement,9,6,Medium,309
C100036,73,Female,Single,ON,Mississauga,Construction Worker,76291.0,709,Home,2024-08-26,2027-06-14,2.8,1700.39,994000.0,250,3.1,Monthly,Yes,0,3,Approved,0,2,5.0,2,Text,Afternoon,English,None,9,0,Low,348
C100037,71,Male,Married,ON,Toronto,Retired,56700.0,716,Tenant,2024-09-02,2026-09-02,2.0,577.05,97000.0,2000,5.7,Annual,No,2,1,Approved,0,6,8.0,1,Email,Morning,English,None,18,5,Medium,63
C100038,36,Male,Married,NB,Moncton,Driver,99574.0,722,Home,2026-06-29,2026-12-28,0.5,1748.01,1173000.0,1000,8.1,Monthly,No,1,0,None,0,1,7.0,1,Email,Evening,English,None,9,6,Medium,180
C100039,29,Female,Married,SK,Regina,Student,81172.0,761,Tenant,2021-07-22,2027-05-10,5.8,507.22,26000.0,500,1.4,Annual,Yes,0,4,Approved,0,3,5.0,2,Email,Evening,French,New Child,9,0,Low,313
C100040,29,Female,Married,QC,Gatineau,Engineer,48384.0,676,Home,2023-07-08,2026-11-30,3.4,1849.07,397000.0,500,11.5,Monthly,Yes,2,0,None,0,4,8.0,1,Text,Evening,French,Divorce,10,7,High,152
C100041,66,Female,Divorced,ON,Hamilton,Teacher,73109.0,695,Auto,2023-05-18,2026-09-04,3.3,1251.46,126000.0,1000,9.5,Monthly,No,0,3,Approved,0,0,8.0,1,Email,Evening,English,None,6,3,Low,65
C100042,63,Female,Single,ON,Ottawa,Student,50191.0,677,Home,2024-07-21,2026-07-21,2.0,1395.25,1433000.0,2000,6.5,Annual,Yes,2,0,None,0,4,8.0,1,Mail,Evening,English,None,9,4,Medium,20
C100043,41,Male,Single,ON,Mississauga,Retired,39518.0,741,Auto,2026-12-12,2027-06-12,0.5,3190.96,516000.0,1000,-4.7,Monthly,Yes,0,0,None,0,3,10.0,1,Text,Evening,English,None,10,2,Low,346
C100044,23,Female,Married,ON,Toronto,Government Employee,45849.0,860,Home,2019-07-28,2026-11-14,7.3,2574.15,1043000.0,1000,14.4,Annual,Yes,0,2,Partial,0,0,10.0,1,Phone,Afternoon,English,None,8,3,Low,136
C100045,80,Female,Married,QC,Montreal,IT Professional,50225.0,708,Auto+Home Bundle,2022-04-28,2026-10-27,4.5,2786.76,1201000.0,1000,22.0,Monthly,Yes,1,1,Approved,0,4,8.0,1,Email,Morning,French,Home Purchase,5,6,Medium,118
C100046,47,Female,Single,BC,Victoria,Driver,33436.0,737,Auto,2026-07-25,2027-04-06,0.7,1372.16,230000.0,500,0.3,Monthly,Yes,2,2,Approved,2,2,8.0,1,Email,Evening,English,None,9,7,High,279
C100047,75,Male,Married,ON,London,Retired,47380.0,706,Home,2025-10-21,2027-01-02,1.2,1125.15,1238000.0,1000,13.8,Monthly,Yes,3,0,None,2,1,6.0,2,Email,Evening,English,Divorce,11,11,High,185
C100048,61,Female,Married,NB,Moncton,Accountant,227663.0,707,Home,2020-09-25,2026-08-19,5.9,1178.48,300000.0,1000,7.1,Monthly,Yes,0,0,None,0,4,4.0,2,Phone,Afternoon,English,None,10,2,Low,49
C100049,68,Female,Married,QC,Montreal,Construction Worker,66493.0,742,Auto,2020-01-10,2026-10-28,6.8,3387.18,275000.0,1000,10.9,Monthly,Yes,0,0,None,0,1,9.0,1,Email,Evening,English,Job Change,8,4,Medium,119
C100050,66,Female,Married,QC,Gatineau,Retired,70517.0,623,Auto,2023-06-16,2026-11-08,3.4,1286.0,1469000.0,250,11.7,Annual,No,0,0,None,0,4,4.0,3,Text,Afternoon,French,New Child,11,4,Medium,130
C100051,31,Female,Single,QC,Laval,Accountant,60599.0,559,Auto+Home Bundle,2025-05-10,2027-04-03,1.9,2800.48,1860000.0,1500,5.4,Monthly,No,2,1,Approved,0,2,8.0,1,Email,Afternoon,French,None,7,6,Medium,276
C100052,41,Male,Married,AB,Calgary,Sales Representative,108310.0,607,Auto,2019-04-18,2026-10-17,7.5,1836.88,1342000.0,500,9.2,Monthly,No,0,0,None,0,2,5.0,1,Mail,Afternoon,English,None,7,3,Low,108
C100053,48,Female,Divorced,NS,Sydney,Construction Worker,64186.0,634,Home,2023-09-14,2027-02-06,3.4,2090.72,1487000.0,500,-8.0,Monthly,No,1,0,None,1,0,8.0,1,Text,Morning,English,None,17,6,Medium,220
C100054,50,Female,Married,AB,Edmonton,IT Professional,50556.0,732,Auto,2022-04-09,2026-11-14,4.6,3345.12,1597000.0,1000,4.9,Monthly,No,0,0,None,0,3,9.0,3,Text,Evening,English,Home Purchase,7,1,Low,136
C100055,21,Female,Married,QC,Quebec City,Construction Worker,61493.0,620,Auto+Home Bundle,2019-07-29,2026-11-15,7.3,3372.03,675000.0,500,17.0,Monthly,Yes,0,0,None,0,1,6.0,1,Phone,Morning,French,None,11,4,Medium,137
C100056,53,Female,Married,NS,Sydney,Nurse,106777.0,751,Life,2024-11-10,2027-01-22,2.2,731.9,553000.0,2000,6.3,Monthly,Yes,1,1,Approved,0,1,7.0,1,Email,Evening,French,Divorce,12,5,Medium,205
C100057,28,Male,Married,QC,Montreal,Driver,93993.0,644,Auto,2023-12-14,2027-04-02,3.3,1782.71,1302000.0,1500,20.3,Monthly,Yes,0,0,None,0,6,8.0,1,Phone,Evening,English,None,9,4,Medium,275
C100058,65,Male,Divorced,ON,London,Retired,26802.0,716,Life,2025-10-06,2026-10-06,1.0,1941.7,715000.0,1000,-1.6,Annual,Yes,2,0,None,0,4,4.0,2,Phone,Afternoon,English,Home Purchase,13,6,Medium,97
C100059,62,Male,Married,ON,Ottawa,Technician,63984.0,649,Auto,2012-08-06,2027-04-19,14.7,1787.85,1122000.0,250,-1.6,Monthly,Yes,1,3,Approved,0,4,6.0,1,Email,Morning,English,Home Purchase,5,3,Low,292
C100060,77,Female,Single,NS,Sydney,Driver,81913.0,771,Auto,2024-11-29,2027-05-31,2.5,3379.79,1965000.0,2000,12.8,Monthly,Yes,0,1,Partial,2,2,9.0,1,Email,Afternoon,English,None,10,5,Medium,334
C100061,65,Female,Single,NS,Halifax,Government Employee,66403.0,783,Home,2025-11-11,2026-12-17,1.1,1442.99,1265000.0,1000,4.0,Monthly,Yes,1,0,None,0,0,7.0,1,Phone,Morning,English,None,13,4,Medium,169
C100062,42,Female,Single,SK,Saskatoon,Sales Representative,226135.0,742,Auto+Home Bundle,2026-07-27,2026-11-13,0.3,2769.62,2223000.0,500,4.5,Monthly,Yes,0,0,None,0,2,9.0,1,Phone,Morning,English,Job Change,7,4,Medium,135
C100063,60,Female,Married,QC,Montreal,Retired,112582.0,748,Auto,2025-04-28,2026-12-03,1.6,1640.73,1654000.0,1500,10.2,Annual,Yes,0,0,None,0,0,9.0,1,Phone,Evening,French,Divorce,8,5,Medium,155
C100064,44,Male,Married,BC,Kelowna,Construction Worker,90876.0,715,Home,2011-11-24,2027-03-13,15.3,1975.67,566000.0,500,-4.1,Monthly,Yes,1,1,Approved,0,1,8.0,1,Text,Afternoon,English,Home Purchase,11,3,Low,255
C100065,39,Female,Single,AB,Calgary,IT Professional,35067.0,777,Auto,2024-09-04,2026-10-11,2.1,2320.53,1337000.0,1000,7.3,Monthly,No,2,0,None,0,1,2.0,1,Email,Morning,English,Marriage,9,7,High,102
C100066,76,Male,Married,QC,Montreal,Government Employee,34292.0,677,Home,2021-12-30,2027-05-25,5.4,1613.05,531000.0,1000,0.8,Annual,Yes,0,0,None,0,3,7.0,1,Phone,Evening,French,New Child,9,1,Low,328
C100067,42,Male,Married,QC,Gatineau,Self-Employed,46271.0,642,Auto+Home Bundle,2024-04-10,2027-05-17,3.1,3815.11,1855000.0,1000,-2.6,Monthly,No,0,1,Approved,0,1,10.0,1,Phone,Afternoon,French,None,11,2,Low,320
C100068,23,Male,Single,MB,Winnipeg,Sales Representative,36730.0,532,Home,2025-10-02,2026-08-26,0.9,2505.5,1094000.0,500,13.1,Annual,No,0,2,Approved,0,3,7.0,1,Mail,Afternoon,English,None,8,4,Medium,56
C100069,48,Male,Single,ON,Toronto,Teacher,72640.0,713,Auto,2021-04-05,2026-08-29,5.4,1259.44,583000.0,500,11.2,Monthly,No,0,0,None,3,2,3.0,2,Email,Evening,English,Marriage,8,6,Medium,59
C100070,69,Female,Single,QC,Laval,Self-Employed,45156.0,720,Auto+Home Bundle,2018-09-01,2026-10-07,8.1,4698.3,1107000.0,250,17.6,Monthly,Yes,0,0,None,0,3,6.0,1,Email,Evening,English,None,14,4,Medium,98
C100071,30,Female,Married,ON,Brampton,Retired,29899.0,691,Auto,2021-02-11,2027-03-20,6.1,3095.24,1505000.0,2000,6.9,Annual,No,0,0,None,0,3,6.0,2,Phone,Afternoon,English,None,6,1,Low,262
C100072,48,Female,Married,QC,Laval,Sales Representative,101174.0,667,Auto,2021-06-20,2027-03-02,5.7,3325.35,266000.0,250,15.2,Monthly,Yes,0,0,None,0,2,5.0,1,Email,Morning,English,None,6,4,Medium,244
C100073,27,Male,Married,NS,Halifax,Nurse,67937.0,666,Auto+Home Bundle,2009-08-27,2026-07-21,16.9,5031.88,681000.0,1000,18.8,Annual,Yes,0,0,None,0,3,9.0,3,Text,Afternoon,French,New Child,13,3,Low,20
C100074,62,Female,Single,AB,Edmonton,Accountant,67352.0,685,Home,2026-02-18,2026-08-19,0.5,2324.23,1446000.0,500,10.2,Annual,Yes,0,0,None,0,5,6.0,1,Phone,Evening,English,None,16,3,Low,49
C100075,48,Female,Divorced,QC,Quebec City,IT Professional,46880.0,750,Auto,2024-10-24,2027-02-11,2.3,1255.65,1539000.0,1500,5.5,Monthly,Yes,0,0,None,0,1,8.0,2,Phone,Afternoon,French,None,8,0,Low,225
C100076,39,Male,Married,BC,Vancouver,Engineer,74621.0,679,Home,2026-08-09,2027-01-02,0.4,1691.38,908000.0,500,14.9,Annual,Yes,0,1,Approved,0,2,3.0,1,Text,Afternoon,English,None,10,5,Medium,185
C100077,33,Male,Married,QC,Gatineau,IT Professional,71917.0,810,Auto,2013-10-14,2026-10-14,13.0,3015.17,1599000.0,1500,9.5,Monthly,Yes,0,1,Denied,0,2,6.0,2,Email,Morning,French,None,5,4,Medium,105
C100078,54,Female,Married,ON,London,Construction Worker,79108.0,802,Auto,2016-12-06,2027-03-26,10.3,3398.91,724000.0,1000,14.6,Monthly,Yes,2,1,Approved,3,2,6.0,2,Email,Evening,English,None,9,6,Medium,268
C100079,61,Male,Single,QC,Montreal,Construction Worker,50602.0,630,Home,2025-12-03,2026-08-15,0.7,2593.59,1132000.0,1500,11.2,Monthly,Yes,0,0,None,0,3,7.0,1,Email,Evening,French,None,11,3,Low,45
C100080,78,Male,Married,ON,Kitchener,Retired,51737.0,797,Auto,2022-05-21,2026-08-02,4.2,2081.72,1424000.0,250,10.8,Monthly,Yes,0,2,Approved,0,1,9.0,2,Email,Morning,English,Retirement,9,2,Low,32
C100081,46,Male,Married,QC,Gatineau,Teacher,47395.0,768,Auto+Home Bundle,2014-10-16,2026-08-03,11.8,2879.21,2066000.0,250,2.2,Annual,Yes,0,0,None,0,2,7.0,1,Text,Afternoon,French,Job Change,14,3,Low,33
C100082,29,Female,Single,QC,Laval,Technician,41625.0,739,Auto,2023-08-05,2026-09-10,3.1,1281.47,914000.0,500,2.4,Monthly,No,3,0,None,0,1,8.0,1,Email,Evening,French,Home Purchase,12,7,High,71
C100083,71,Male,Single,BC,Vancouver,IT Professional,152210.0,618,Home,2019-08-25,2027-06-12,7.8,2407.8,1433000.0,1000,2.3,Monthly,Yes,0,1,Approved,0,3,5.0,3,Phone,Afternoon,English,None,7,0,Low,346
C100084,58,Male,Married,ON,Ottawa,IT Professional,24000.0,722,Tenant,2024-04-06,2027-01-23,2.8,444.37,42000.0,2000,-4.0,Monthly,Yes,0,0,None,0,3,6.0,2,Email,Evening,English,None,12,0,Low,206
C100085,63,Female,Married,QC,Montreal,Accountant,35672.0,818,Auto,2017-05-02,2027-06-08,10.1,2547.81,787000.0,1000,1.5,Annual,No,0,0,None,0,2,5.0,1,Mail,Evening,French,None,6,2,Low,342
C100086,25,Male,Widowed,QC,Laval,Retired,64979.0,658,Auto,2025-06-17,2027-02-27,1.7,1780.8,612000.0,1000,-1.3,Annual,Yes,0,0,None,0,2,7.0,2,Text,Afternoon,French,None,10,1,Low,241
C100087,38,Male,Married,ON,Toronto,Retired,41848.0,765,Auto,2024-08-15,2026-09-21,2.1,3192.75,1845000.0,500,9.4,Monthly,No,0,1,Approved,0,3,5.0,1,Email,Evening,English,None,8,3,Low,82
C100088,67,Male,Divorced,BC,Kelowna,Sales Representative,64972.0,684,Home,2025-04-13,2027-06-25,2.2,1720.87,861000.0,1000,-3.1,Monthly,Yes,0,2,Approved,0,1,10.0,2,Email,Afternoon,English,None,10,0,Low,359
C100089,71,Male,Single,BC,Victoria,Manager,31822.0,619,Auto+Home Bundle,2011-11-30,2026-10-24,14.9,3808.66,780000.0,1000,10.8,Monthly,No,0,0,None,1,1,9.0,2,Email,Evening,English,None,7,4,Medium,115
C100090,46,Female,Married,QC,Gatineau,Accountant,24743.0,704,Auto,2023-03-16,2026-07-03,3.3,2779.29,1033000.0,500,8.7,Annual,No,0,1,Denied,0,1,5.0,1,Email,Afternoon,French,None,12,6,Medium,2
C100091,69,Female,Married,ON,Mississauga,Technician,51794.0,743,Home,2021-03-15,2026-07-02,5.3,2037.02,679000.0,500,4.7,Annual,No,1,0,None,1,2,8.0,1,Email,Afternoon,French,None,10,6,Medium,1
C100092,72,Female,Divorced,AB,Calgary,Driver,102335.0,720,Tenant,2019-11-30,2027-01-05,7.1,292.08,46000.0,1000,-1.4,Annual,Yes,0,0,None,0,1,7.0,2,Phone,Morning,English,New Child,8,0,Low,188
C100093,43,Male,Married,BC,Surrey,Retail Associate,70271.0,720,Tenant,2026-04-03,2026-07-21,0.3,242.27,41000.0,1000,-8.0,Monthly,Yes,0,0,None,0,3,,3,Email,Morning,English,Job Change,4,3,Low,20
C100094,75,Male,Married,BC,Victoria,Technician,90880.0,746,Home,2017-05-08,2027-06-14,10.1,1264.9,566000.0,1500,-1.0,Monthly,No,0,1,Partial,0,2,7.0,2,Phone,Afternoon,English,None,10,2,Low,348
C100095,37,Male,Single,NS,Sydney,Sales Representative,113358.0,739,Auto,2023-08-04,2027-03-10,3.6,1222.35,1878000.0,500,9.7,Annual,No,0,0,None,0,2,9.0,1,Phone,Afternoon,English,None,9,3,Low,252
C100096,34,Male,Married,AB,Red Deer,Technician,,677,Life,2025-10-29,2027-01-10,1.2,1217.86,304000.0,250,6.9,Monthly,Yes,0,1,Approved,2,5,6.0,1,Mail,Afternoon,English,None,11,4,Medium,193
C100097,61,Female,Married,MB,Brandon,Retired,43190.0,655,Home,2027-02-10,2027-05-30,0.3,1750.68,406000.0,250,13.1,Annual,No,2,1,Approved,0,0,7.0,1,Phone,Evening,English,None,12,7,High,333
C100098,59,Male,Single,AB,Calgary,Retired,51880.0,639,Home,2026-03-11,2027-02-02,0.9,1886.64,692000.0,500,5.0,Annual,No,0,0,None,0,2,10.0,1,Email,Evening,English,New Child,4,3,Low,216
C100099,27,Female,Married,BC,Victoria,Self-Employed,38085.0,717,Auto,2024-06-11,2026-08-23,2.2,3415.4,1843000.0,1500,-5.6,Monthly,Yes,0,0,None,2,2,8.0,1,Text,Evening,English,Retirement,9,4,Medium,53
C100100,71,Female,Married,AB,Red Deer,Retired,53572.0,648,Home,2008-06-07,2026-10-31,18.4,1529.82,1261000.0,250,8.0,Monthly,No,0,1,Approved,0,1,7.0,3,Mail,Evening,English,None,5,2,Low,122
C100101,31,Male,Married,NS,Sydney,Nurse,44807.0,751,Home,2016-10-18,2026-11-24,10.1,2202.33,386000.0,250,-4.8,Monthly,Yes,0,1,Partial,1,1,9.0,1,Email,Evening,English,None,13,4,Medium,146
C100102,69,Male,Married,QC,Montreal,Engineer,71685.0,615,Home,2019-11-18,2027-04-12,7.4,1107.57,630000.0,250,3.7,Monthly,Yes,0,0,None,0,1,6.0,1,Email,Evening,English,None,6,1,Low,285
C100103,19,Female,Married,QC,Montreal,Manager,39386.0,677,Home,2026-02-04,2027-06-30,1.4,1856.4,902000.0,250,9.3,Monthly,Yes,0,2,Denied,0,5,10.0,1,Text,Afternoon,English,Job Change,6,8,High,364
C100104,69,Female,Single,NS,Sydney,Retail Associate,51308.0,735,Auto,2025-12-15,2027-05-10,1.4,3425.69,1645000.0,250,1.0,Monthly,No,0,0,None,0,0,7.0,2,Email,Morning,English,Home Purchase,16,2,Low,313
C100105,68,Female,Married,NS,Sydney,Accountant,100870.0,699,Home,2023-06-23,2026-10-10,3.3,2428.18,425000.0,1500,14.5,Monthly,Yes,0,1,Partial,0,4,10.0,1,Phone,Morning,English,None,11,3,Low,101
C100106,68,Female,Divorced,MB,Brandon,Construction Worker,100172.0,583,Auto,2022-07-07,2027-04-25,4.8,2814.58,1512000.0,2000,10.7,Annual,No,0,0,None,0,1,6.0,1,Phone,Evening,English,Home Purchase,6,3,Low,298
C100107,60,Male,Single,QC,Quebec City,Teacher,81435.0,663,Life,2020-09-14,2027-04-21,6.6,2468.85,838000.0,2000,-2.1,Monthly,No,0,0,None,0,1,7.0,2,Phone,Afternoon,French,Job Change,7,3,Low,294
C100108,48,Male,Divorced,BC,Kelowna,Accountant,36791.0,840,Home,2021-10-12,2026-07-31,4.8,1282.18,712000.0,500,3.2,Monthly,Yes,0,2,Approved,0,2,7.0,2,Text,Afternoon,English,Home Purchase,12,0,Low,30
C100109,63,Male,Divorced,QC,Laval,Government Employee,258923.0,636,Life,2025-02-08,2026-07-04,1.4,934.16,704000.0,1500,10.1,Monthly,No,0,0,None,0,4,7.0,1,Mail,Morning,English,Home Purchase,7,4,Medium,3
C100110,36,Female,Single,ON,Hamilton,Student,52512.0,781,Auto+Home Bundle,2024-03-10,2027-05-22,3.2,3602.49,1951000.0,1500,-8.0,Monthly,Yes,0,0,None,0,3,8.0,2,Email,Evening,English,None,5,0,Low,325
C100111,68,Female,Single,ON,Toronto,Self-Employed,73773.0,724,Auto,2025-11-30,2026-11-30,1.0,1858.22,1945000.0,500,5.6,Monthly,Yes,0,0,None,0,3,5.0,1,Text,Afternoon,English,Job Change,7,4,Medium,152
C100112,54,Male,Married,ON,Brampton,Engineer,53279.0,743,Home,2019-08-04,2027-04-16,7.7,2416.79,485000.0,1500,-7.6,Monthly,No,0,0,None,0,3,8.0,1,Email,Morning,English,Job Change,6,4,Medium,289
